gene_id	gene_name	longest_transcript_exon_length
ENSMUSG00000097797.6	Gm26901	2703
ENSMUSG00000103498.1	Gm18984	1124
ENSMUSG00000103067.1	Gm30414	2596
ENSMUSG00000102320.1	Gm37791	286
ENSMUSG00000104226.1	Gm7470	2095
ENSMUSG00000103903.1	Rps2-ps2	881
ENSMUSG00000103557.1	Gm38216	1214
ENSMUSG00000025909.16	Sntg1	4887
ENSMUSG00000102647.1	Gm38024	2532
ENSMUSG00000086235.1	Gm16284	400
ENSMUSG00000102253.1	Gm38259	3534
ENSMUSG00000093970.1	Gm23358	110
ENSMUSG00000103884.1	Gm37005	1164
ENSMUSG00000084353.1	Gm15452	240
ENSMUSG00000103933.1	Gm36964	198
ENSMUSG00000076135.1	Gm24276	110
ENSMUSG00000086195.1	Gm6152	340
ENSMUSG00000104504.1	Gm7445	340
ENSMUSG00000066693.2	Gm7493	626
ENSMUSG00000102316.1	Gm37629	1050
ENSMUSG00000103819.1	Gm38008	518
ENSMUSG00000102871.1	Gm37143	3259
ENSMUSG00000101571.2	Gm6187	960
ENSMUSG00000104428.1	Gm18299	636
ENSMUSG00000102272.1	Gm7512	1170
ENSMUSG00000065625.1	Gm24765	103
ENSMUSG00000103411.1	Gm18300	1406
ENSMUSG00000061024.8	Rrs1	2048
ENSMUSG00000025911.14	Adhfe1	3239
ENSMUSG00000079671.8	2610203C22Rik	3475
ENSMUSG00000081441.3	Gm6161	1102
ENSMUSG00000067879.3	Vxn	3256
ENSMUSG00000099827.1	Gm29520	1067
ENSMUSG00000025912.16	Mybl1	4980
ENSMUSG00000045210.8	Vcpip1	9749
ENSMUSG00000097893.8	1700034P13Rik	1996
ENSMUSG00000025915.14	Sgk3	3779
ENSMUSG00000046334.4	Gm6195	357
ENSMUSG00000088916.1	Gm22607	105
ENSMUSG00000046101.16	Mcmdc2	3249
ENSMUSG00000098234.7	Snhg6	816
ENSMUSG00000093178.1	Snord87	87
ENSMUSG00000099032.2	Tcf24	4193
ENSMUSG00000104025.1	E330040D14Rik	1374
ENSMUSG00000025916.10	Ppp1r42	1425
ENSMUSG00000087199.1	Gm15818	656
ENSMUSG00000095780.1	Gm24674	104
ENSMUSG00000025917.9	Cops5	2204
ENSMUSG00000056763.16	Cspp1	5009
ENSMUSG00000102356.1	1700047N06Rik	920
ENSMUSG00000067851.11	Arfgef1	6978
ENSMUSG00000088153.1	Gm26348	240
ENSMUSG00000102556.1	Gm37569	1722
ENSMUSG00000042501.12	Cpa6	4752
ENSMUSG00000103810.1	Gm38005	2745
ENSMUSG00000083422.1	Gm15604	1456
ENSMUSG00000094979.1	Gm25253	107
ENSMUSG00000081417.1	Gm15603	492
ENSMUSG00000103448.1	Gm37133	1922
ENSMUSG00000100212.1	Gm5522	1242
ENSMUSG00000100648.1	Gm28659	759
ENSMUSG00000088585.1	Gm22963	91
ENSMUSG00000048960.13	Prex2	11053
ENSMUSG00000077318.1	Gm24173	128
ENSMUSG00000101827.1	Gm28686	609
ENSMUSG00000103494.1	Gm37410	3039
ENSMUSG00000057715.13	A830018L16Rik	6451
ENSMUSG00000103825.1	Gm38178	2471
ENSMUSG00000099845.1	Gm29273	262
ENSMUSG00000103561.1	Gm38069	2144
ENSMUSG00000101610.1	Gm7560	873
ENSMUSG00000093864.1	Gm22633	107
ENSMUSG00000098555.1	Mir6341	121
ENSMUSG00000097628.1	Gm2383	807
ENSMUSG00000098163.1	Gm6216	687
ENSMUSG00000097171.1	Gm17644	3200
ENSMUSG00000101314.1	Gm29663	853
ENSMUSG00000016918.15	Sulf1	5598
ENSMUSG00000025938.16	Slco5a1	8509
ENSMUSG00000104518.1	Gm37162	551
ENSMUSG00000069620.6	Gm5250	321
ENSMUSG00000099498.1	Gm29283	288
ENSMUSG00000042414.7	Prdm14	2564
ENSMUSG00000005886.14	Ncoa2	8171
ENSMUSG00000103506.1	Gm38376	2253
ENSMUSG00000103495.1	Gm37409	1626
ENSMUSG00000099183.1	Gm27881	82
ENSMUSG00000102639.1	Gm38223	695
ENSMUSG00000104170.1	Gm37702	1872
ENSMUSG00000087782.1	Gm23169	112
ENSMUSG00000103085.1	Gm38120	4642
ENSMUSG00000102664.1	Gm38380	2248
ENSMUSG00000101476.1	Gm29570	681
ENSMUSG00000101171.1	Gm7593	644
ENSMUSG00000025935.10	Tram1	2938
ENSMUSG00000025937.6	Lactb2	4494
ENSMUSG00000102982.1	Gm38319	1266
ENSMUSG00000067813.3	Xkr9	1926
ENSMUSG00000077368.1	Gm26273	131
ENSMUSG00000097711.1	Gm5523	997
ENSMUSG00000102166.1	Gm36947	2249
ENSMUSG00000089358.1	Gm25491	308
ENSMUSG00000104209.1	Gm37400	3605
ENSMUSG00000025932.14	Eya1	4366
ENSMUSG00000095853.1	Gm22616	100
ENSMUSG00000102588.1	Gm37444	439
ENSMUSG00000054493.2	Gm9947	2920
ENSMUSG00000025930.6	Msc	1741
ENSMUSG00000103492.1	Gm37412	4321
ENSMUSG00000081201.1	Smt3h2-ps4	288
ENSMUSG00000082193.1	Rpl5-ps1	894
ENSMUSG00000032769.5	Trpa1	4263
ENSMUSG00000088159.1	Gm26345	120
ENSMUSG00000073737.3	Gm10566	996
ENSMUSG00000092083.4	Kcnb2	14845
ENSMUSG00000102937.1	Gm38116	1533
ENSMUSG00000104149.1	Gm37138	2089
ENSMUSG00000088829.1	Gm25227	112
ENSMUSG00000077377.1	Gm25168	132
ENSMUSG00000101652.1	Gm6060	251
ENSMUSG00000100814.1	Gm28669	100
ENSMUSG00000025925.14	Terf1	2908
ENSMUSG00000104379.1	Gm37509	3169
ENSMUSG00000032719.4	Sbspon	2748
ENSMUSG00000088943.1	Gm23259	303
ENSMUSG00000100652.1	Gm7634	553
ENSMUSG00000067795.13	4930444P10Rik	1844
ENSMUSG00000043716.13	Rpl7	1597
ENSMUSG00000025921.7	Rdh10	3587
ENSMUSG00000104165.1	Gm38249	2321
ENSMUSG00000100868.1	Gm28095	1515
ENSMUSG00000025920.19	Stau2	3907
ENSMUSG00000089982.7	Gm7568	709
ENSMUSG00000025939.18	Ube2w	2181
ENSMUSG00000102457.1	Gm38342	2980
ENSMUSG00000079658.9	Eloc	2014
ENSMUSG00000097744.1	D030040B21Rik	2788
ENSMUSG00000100959.1	Gm7654	683
ENSMUSG00000025940.6	Tmem70	1710
ENSMUSG00000025779.10	Ly96	666
ENSMUSG00000100093.1	Gm29649	419
ENSMUSG00000091020.3	Gm5828	1860
ENSMUSG00000101640.1	Gm28376	176
ENSMUSG00000104133.1	4921511E07Rik	827
ENSMUSG00000042686.5	Jph1	4809
ENSMUSG00000100110.1	Gm28783	359
ENSMUSG00000025777.8	Gdap1	3949
ENSMUSG00000099899.1	Gm28784	1011
ENSMUSG00000100272.1	Gm28785	379
ENSMUSG00000100398.1	Gm5251	472
ENSMUSG00000101589.1	Rbm6-ps1	2870
ENSMUSG00000102048.1	Gm6075	486
ENSMUSG00000089534.1	Gm25166	111
ENSMUSG00000067780.3	Pi15	6923
ENSMUSG00000100053.1	Gm28154	4218
ENSMUSG00000085125.7	Gm16070	5210
ENSMUSG00000025776.13	Crispld1	4472
ENSMUSG00000099895.1	Gm28153	629
ENSMUSG00000100554.1	Gm7690	1399
ENSMUSG00000099473.1	Gm18775	586
ENSMUSG00000099591.1	Gm17969	2557
ENSMUSG00000109887.1	Gm28756	2461
ENSMUSG00000102001.1	Gm28755	199
ENSMUSG00000101717.2	Gm45784	142
ENSMUSG00000025774.14	Crisp4	2614
ENSMUSG00000070977.4	Defb44-ps	219
ENSMUSG00000073735.1	Defb18	258
ENSMUSG00000067773.6	Defb41	467
ENSMUSG00000101685.1	Gm17837	985
ENSMUSG00000101306.1	Gm5252	909
ENSMUSG00000088800.1	Gm24075	72
ENSMUSG00000101644.1	Gm28343	112
ENSMUSG00000099433.1	Gm28344	279
ENSMUSG00000089787.2	Gm15825	918
ENSMUSG00000042596.7	Tfap2d	1761
ENSMUSG00000100720.1	Gm10075	545
ENSMUSG00000025927.13	Tfap2b	5863
ENSMUSG00000100538.1	Gm28340	202
ENSMUSG00000101117.1	Gm28341	472
ENSMUSG00000100204.1	Gm4849	2246
ENSMUSG00000084668.1	Gm24633	65
ENSMUSG00000102597.1	Gm38382	2499
ENSMUSG00000043760.16	Pkhd1	12935
ENSMUSG00000104095.1	Gm37315	3479
ENSMUSG00000089914.2	4930486I03Rik	788
ENSMUSG00000090142.2	Gm15795	553
ENSMUSG00000070175.1	Gm24162	102
ENSMUSG00000099906.2	Gm28653	5276
ENSMUSG00000065559.1	Mir206	73
ENSMUSG00000065480.1	Mir133b	119
ENSMUSG00000025929.4	Il17a	1171
ENSMUSG00000041872.9	Il17f	1178
ENSMUSG00000041859.10	Mcm3	3431
ENSMUSG00000099714.1	Gm20587	1186
ENSMUSG00000102121.1	Gm28065	833
ENSMUSG00000088858.1	Gm24723	132
ENSMUSG00000097934.1	6720483E21Rik	1120
ENSMUSG00000025931.15	Paqr8	5330
ENSMUSG00000077314.1	Gm24171	131
ENSMUSG00000100929.1	Gm28064	858
ENSMUSG00000041809.5	Efhc1	2146
ENSMUSG00000041779.5	Tram2	6492
ENSMUSG00000099971.1	Gm28287	546
ENSMUSG00000100819.1	Gm2693	571
ENSMUSG00000025933.15	Tmem14a	1261
ENSMUSG00000102633.1	Gm38224	2100
ENSMUSG00000025934.15	Gsta3	2792
ENSMUSG00000099343.1	Gm28836	633
ENSMUSG00000096375.2	Gm7094	366
ENSMUSG00000025936.15	Gm4956	1148
ENSMUSG00000093963.1	Gm21909	439
ENSMUSG00000067750.3	Khdc1a	1987
ENSMUSG00000086194.1	Gm16329	371
ENSMUSG00000094436.1	Gm16327	228
ENSMUSG00000041722.7	Khdc1c	1946
ENSMUSG00000085507.1	Gm2709	350
ENSMUSG00000094926.1	Gm16533	228
ENSMUSG00000085079.3	Khdc1b	2236
ENSMUSG00000085679.2	Gm16328	196
ENSMUSG00000028033.16	Kcnq5	6975
ENSMUSG00000104138.1	Gm36949	2327
ENSMUSG00000082935.3	Gm7658	1124
ENSMUSG00000103748.1	Gm38243	1567
ENSMUSG00000097109.1	Gm26580	2095
ENSMUSG00000099692.1	Gm5696	552
ENSMUSG00000100418.1	Gm28239	447
ENSMUSG00000041670.16	Rims1	6446
ENSMUSG00000097642.1	Gm26866	802
ENSMUSG00000101468.1	Gm7761	921
ENSMUSG00000101227.1	Gm29506	2078
ENSMUSG00000073730.2	4933415F23Rik	1781
ENSMUSG00000089553.1	Gm24176	121
ENSMUSG00000102766.1	Gm6420	723
ENSMUSG00000065405.3	Mir30a	71
ENSMUSG00000097970.1	Gm27028	399
ENSMUSG00000065567.1	Mir30c-2	84
ENSMUSG00000100775.1	Gm29107	347
ENSMUSG00000101226.1	Gm20954	644
ENSMUSG00000026158.11	Ogfrl1	4844
ENSMUSG00000097920.1	Gm7784	989
ENSMUSG00000099503.1	Gm28822	778
ENSMUSG00000026156.8	B3gat2	5655
ENSMUSG00000026155.13	Smap1	2289
ENSMUSG00000026154.4	Sdhaf4	683
ENSMUSG00000102495.1	Gm26524	390
ENSMUSG00000026153.15	Fam135a	5536
ENSMUSG00000102398.1	Gm37580	2800
ENSMUSG00000097670.1	Gm26607	867
ENSMUSG00000026147.16	Col9a1	3834
ENSMUSG00000026141.13	Col19a1	5441
ENSMUSG00000077463.1	Gm26418	137
ENSMUSG00000099997.1	Tubb4b-ps2	1337
ENSMUSG00000100131.1	Gm28439	876
ENSMUSG00000067736.2	Gm10222	294
ENSMUSG00000101939.1	Gm28438	345
ENSMUSG00000101111.1	Gm28437	783
ENSMUSG00000100862.1	Gm10925	678
ENSMUSG00000102070.1	Gm28661	681
ENSMUSG00000101249.1	Gm29216	492
ENSMUSG00000073725.8	Lmbrd1	5228
ENSMUSG00000100808.1	Gm28594	661
ENSMUSG00000100483.1	Gm28237	748
ENSMUSG00000100450.1	Gm9443	816
ENSMUSG00000099392.1	Gm29414	448
ENSMUSG00000033569.17	Adgrb3	5530
ENSMUSG00000080849.1	Gm15702	444
ENSMUSG00000104257.1	Gm20172	1551
ENSMUSG00000096866.1	Gm22260	107
ENSMUSG00000102296.1	Gm37543	1031
ENSMUSG00000103209.1	Gm37331	3375
ENSMUSG00000104027.1	Gm37211	3433
ENSMUSG00000102407.1	Gm37862	2533
ENSMUSG00000103214.1	Gm38286	3105
ENSMUSG00000104100.1	Gm37880	3257
ENSMUSG00000084740.1	Gm25294	104
ENSMUSG00000103889.1	Gm37011	2935
ENSMUSG00000101301.1	Gm29214	570
ENSMUSG00000104221.1	Gm37051	2943
ENSMUSG00000102250.1	Gm38260	3995
ENSMUSG00000102317.1	Gm37628	5440
ENSMUSG00000103563.1	8030445P17Rik	2741
ENSMUSG00000102465.1	Gm38198	3581
ENSMUSG00000102659.1	Gm37077	3691
ENSMUSG00000103924.1	Gm37895	4550
ENSMUSG00000104132.1	Gm36952	3625
ENSMUSG00000102747.1	Gm37602	3310
ENSMUSG00000102386.1	2900022M07Rik	1017
ENSMUSG00000103004.1	2900002M20Rik	330
ENSMUSG00000104516.1	Gm9884	1222
ENSMUSG00000101618.1	Gm18443	556
ENSMUSG00000099458.1	Gm19123	651
ENSMUSG00000088111.1	Gm24064	106
ENSMUSG00000073722.3	4931408C20Rik	4318
ENSMUSG00000095256.1	n-R5s209	119
ENSMUSG00000100310.1	Gm19641	417
ENSMUSG00000101514.1	Gm5524	2002
ENSMUSG00000101033.1	Gm18776	654
ENSMUSG00000101372.1	Gm19028	1873
ENSMUSG00000103241.1	Gm38089	1514
ENSMUSG00000086240.4	Gm7846	274
ENSMUSG00000048411.4	Gm597	2887
ENSMUSG00000081557.2	Gm5697	2482
ENSMUSG00000058590.2	Gm6462	304
ENSMUSG00000101235.1	Gm18033	550
ENSMUSG00000064433.1	Gm25586	112
ENSMUSG00000080625.1	Gm22679	100
ENSMUSG00000080391.1	Gm23785	96
ENSMUSG00000099257.1	Mir6342	125
ENSMUSG00000099492.1	Gm5525	1312
ENSMUSG00000101726.1	Gm7858	622
ENSMUSG00000096829.1	Gm23771	110
ENSMUSG00000098883.1	Gm27430	107
ENSMUSG00000053185.2	Gm9898	1161
ENSMUSG00000100261.1	Gm6473	1210
ENSMUSG00000101180.1	Gm2914	328
ENSMUSG00000048874.15	Phf3	7567
ENSMUSG00000103783.1	Gm37522	2884
ENSMUSG00000104315.1	Gm37906	3035
ENSMUSG00000026064.16	Ptp4a1	4236
ENSMUSG00000117310.1	Ptp4a1	4145
ENSMUSG00000117091.1	Gm5698	726
ENSMUSG00000086726.3	Gm9458	729
ENSMUSG00000086727.8	4931428L18Rik	1765
ENSMUSG00000100237.1	Gm28644	585
ENSMUSG00000098529.1	Gm27362	138
ENSMUSG00000100910.1	Gm29128	2858
ENSMUSG00000099796.1	Gm7893	225
ENSMUSG00000050217.13	Lgsn	1937
ENSMUSG00000026063.4	Pih1d3	1451
ENSMUSG00000077664.1	Gm26145	127
ENSMUSG00000100205.1	Gm4850	559
ENSMUSG00000100592.1	Gm28645	564
ENSMUSG00000094215.2	Gm6489	696
ENSMUSG00000101093.1	Gm10307	1337
ENSMUSG00000070960.4	Gm19680	1513
ENSMUSG00000088620.1	Gm23032	107
ENSMUSG00000082159.2	Gm7910	835
ENSMUSG00000026058.11	Khdrbs2	5278
ENSMUSG00000064688.1	Gm25814	107
ENSMUSG00000103482.1	Gm37999	1809
ENSMUSG00000104498.1	Gm37110	1628
ENSMUSG00000104313.1	Gm37911	1545
ENSMUSG00000102865.1	Gm9839	1437
ENSMUSG00000102321.1	Gm37792	3413
ENSMUSG00000091318.2	Gm5415	3609
ENSMUSG00000089489.1	Gm24732	63
ENSMUSG00000104433.1	Gm37426	2470
ENSMUSG00000089395.1	Gm23024	292
ENSMUSG00000102926.1	Gm37151	5007
ENSMUSG00000100497.1	Gm28624	2131
ENSMUSG00000102917.1	Gm37724	1221
ENSMUSG00000100481.1	Gm7114	1789
ENSMUSG00000100590.1	Gm4785	751
ENSMUSG00000088750.1	Gm24901	110
ENSMUSG00000104230.1	Gm37591	650
ENSMUSG00000101754.2	Gm2987	1693
ENSMUSG00000065223.1	Gm25792	100
ENSMUSG00000100318.2	Gm18799	913
ENSMUSG00000101612.2	Gm7933	2255
ENSMUSG00000065260.1	Gm23453	106
ENSMUSG00000026134.11	Prim2	2447
ENSMUSG00000101682.1	Gm29228	418
ENSMUSG00000102714.1	Gm37618	3075
ENSMUSG00000102093.1	Gm17813	328
ENSMUSG00000103746.1	1700001G17Rik	889
ENSMUSG00000102198.1	Gm38173	2314
ENSMUSG00000004768.14	Rab23	4398
ENSMUSG00000042215.8	Bag2	1860
ENSMUSG00000103072.1	Gm37905	341
ENSMUSG00000042197.13	Zfp451	11876
ENSMUSG00000081402.4	Gm15455	2557
ENSMUSG00000042182.16	Bend6	2487
ENSMUSG00000104416.1	Gm37067	1628
ENSMUSG00000026131.19	Dst	23279
ENSMUSG00000103596.1	Gm37354	2384
ENSMUSG00000099382.1	Gm28631	334
ENSMUSG00000084506.1	Gm23792	93
ENSMUSG00000103364.1	Gm38157	1698
ENSMUSG00000105982.1	Mir6896	73
ENSMUSG00000096992.3	Gm26788	3416
ENSMUSG00000103001.1	A930005N03Rik	1247
ENSMUSG00000104397.1	Gm37958	430
ENSMUSG00000102839.1	Gm37385	387
ENSMUSG00000101206.1	Gm5266	1162
ENSMUSG00000101462.2	Gm3052	2224
ENSMUSG00000102336.1	Gm37233	6263
ENSMUSG00000092852.1	Mir5103	79
ENSMUSG00000042111.9	Ccdc115	1903
ENSMUSG00000101711.1	Gm28306	529
ENSMUSG00000026127.13	Imp4	5836
ENSMUSG00000026126.15	Ptpn18	3495
ENSMUSG00000100280.2	Gm28417	1601
ENSMUSG00000101223.6	4930568A12Rik	926
ENSMUSG00000026125.9	Prss39	1267
ENSMUSG00000101116.1	Gm28416	292
ENSMUSG00000026124.4	Cfc1	1040
ENSMUSG00000101803.1	Gm28419	475
ENSMUSG00000037529.13	Prss40	1629
ENSMUSG00000045815.4	1700101I19Rik	510
ENSMUSG00000045174.10	Amer3	4392
ENSMUSG00000100524.1	Gm28418	423
ENSMUSG00000102499.1	Gm36984	235
ENSMUSG00000103521.1	Gm29730	1396
ENSMUSG00000104098.1	AA619741	646
ENSMUSG00000037509.21	Arhgef4	6514
ENSMUSG00000102537.1	Gm37224	148
ENSMUSG00000102612.1	Gm37845	355
ENSMUSG00000118272.1	Arhgef4	171
ENSMUSG00000104002.2	Gm38336	2549
ENSMUSG00000037503.12	Fam168b	5058
ENSMUSG00000104358.1	Gm37127	3036
ENSMUSG00000026123.11	Plekhb2	5176
ENSMUSG00000103716.1	Gm19430	2137
ENSMUSG00000103548.1	Gm37670	229
ENSMUSG00000103760.1	Gm8009	436
ENSMUSG00000103997.1	Gm38027	235
ENSMUSG00000077231.1	Gm25096	129
ENSMUSG00000104417.1	Gm37068	640
ENSMUSG00000064601.1	Gm25634	105
ENSMUSG00000101714.1	Gm28415	452
ENSMUSG00000102531.1	1110002O04Rik	566
ENSMUSG00000103096.1	Gm8022	904
ENSMUSG00000102279.1	Gm37146	463
ENSMUSG00000103708.1	Gm33222	654
ENSMUSG00000104201.1	4930535G08Rik	425
ENSMUSG00000102434.1	Gm38049	1372
ENSMUSG00000045216.7	Hs6st1	3719
ENSMUSG00000104523.1	Gm37335	447
ENSMUSG00000102202.1	Gm33280	4340
ENSMUSG00000037470.14	Uggt1	9033
ENSMUSG00000098752.1	Mir6897	62
ENSMUSG00000047180.8	Neurl3	2598
ENSMUSG00000037447.16	Arid5a	5504
ENSMUSG00000102762.1	4930403P22Rik	713
ENSMUSG00000010453.12	Kansl3	4663
ENSMUSG00000098680.1	Mir6898	77
ENSMUSG00000037432.15	Fer1l5	6315
ENSMUSG00000001143.13	Lman2l	4062
ENSMUSG00000037408.10	Cnnm4	4547
ENSMUSG00000104316.1	Gm37909	2159
ENSMUSG00000106081.1	Gm47280	141
ENSMUSG00000001138.13	Cnnm3	5292
ENSMUSG00000102845.1	Gm38033	269
ENSMUSG00000067653.12	Ankrd23	2277
ENSMUSG00000109510.1	Gm42417	2256
ENSMUSG00000079610.9	Ankrd39	2646
ENSMUSG00000026121.13	Sema4c	3892
ENSMUSG00000087589.3	D430040D24Rik	1967
ENSMUSG00000046337.17	Fam178b	2286
ENSMUSG00000089906.1	Gm6428	345
ENSMUSG00000077939.1	Gm24133	75
ENSMUSG00000061518.11	Cox5b	865
ENSMUSG00000037351.9	Actr1b	3248
ENSMUSG00000102416.4	4933424G06Rik	1120
ENSMUSG00000104237.1	Gm33533	1633
ENSMUSG00000026117.10	Zap70	2245
ENSMUSG00000097291.1	Gm18828	857
ENSMUSG00000026116.11	Tmem131	6698
ENSMUSG00000103016.1	Gm37506	143
ENSMUSG00000102930.1	Gm38115	2413
ENSMUSG00000103159.1	F830112A20Rik	3552
ENSMUSG00000080054.3	Rpl12-ps1	498
ENSMUSG00000095944.1	n-R5s210	119
ENSMUSG00000050122.19	Vwa3b	4717
ENSMUSG00000103603.1	Gm37020	992
ENSMUSG00000026114.14	Cnga3	3554
ENSMUSG00000102231.1	1700074A21Rik	346
ENSMUSG00000026113.17	Inpp4a	5691
ENSMUSG00000086064.1	4930439A04Rik	739
ENSMUSG00000102879.1	Gm37135	534
ENSMUSG00000026112.7	Coa5	3863
ENSMUSG00000026111.15	Unc50	1414
ENSMUSG00000026110.15	Mgat4a	7251
ENSMUSG00000103948.1	4930594C11Rik	2755
ENSMUSG00000087233.1	Gm43213	1790
ENSMUSG00000026090.16	2010300C02Rik	4634
ENSMUSG00000089767.1	4930556I23Rik	560
ENSMUSG00000104365.1	4930470B04Rik	1926
ENSMUSG00000102650.1	Gm19863	2218
ENSMUSG00000060771.14	Tsga10	3953
ENSMUSG00000097268.1	Gm26805	3089
ENSMUSG00000037216.5	Lipt1	1485
ENSMUSG00000026088.15	Mitd1	1231
ENSMUSG00000026087.11	Mrpl30	1757
ENSMUSG00000061584.6	Lyg2	2564
ENSMUSG00000087374.1	Gm15457	3990
ENSMUSG00000026085.11	Lyg1	800
ENSMUSG00000089141.1	Gm23409	237
ENSMUSG00000058407.12	Txndc9	3472
ENSMUSG00000026083.12	Eif5b	7797
ENSMUSG00000026082.11	Rev1	4262
ENSMUSG00000103804.1	Gm37062	701
ENSMUSG00000102716.1	Gm5099	1848
ENSMUSG00000037138.17	Aff3	6010
ENSMUSG00000085391.1	Gm16150	673
ENSMUSG00000085280.1	Gm16151	639
ENSMUSG00000087131.7	Gm16152	1189
ENSMUSG00000102984.1	Gm34727	529
ENSMUSG00000102541.1	Gm38135	502
ENSMUSG00000103531.1	2610300A13Rik	503
ENSMUSG00000048814.10	Lonrf2	6932
ENSMUSG00000026080.13	Chst10	5522
ENSMUSG00000103647.1	Gm37707	325
ENSMUSG00000102447.1	Gm6621	772
ENSMUSG00000067604.8	Nms	1001
ENSMUSG00000026078.10	Pdcl3	3914
ENSMUSG00000103046.1	Gm37309	1639
ENSMUSG00000104188.1	Gm37821	1843
ENSMUSG00000103182.1	Gm37091	2087
ENSMUSG00000098833.1	Mir6349	97
ENSMUSG00000026077.15	Npas2	4236
ENSMUSG00000092553.1	Gm20428	283
ENSMUSG00000092563.1	Gm3617	555
ENSMUSG00000073702.11	Rpl31	1049
ENSMUSG00000003134.10	Tbc1d8	4451
ENSMUSG00000102607.1	Gm37265	885
ENSMUSG00000065629.2	Gm24826	215
ENSMUSG00000104827.1	Gm24826	216
ENSMUSG00000003135.15	Cnot11	3482
ENSMUSG00000085894.1	Gm15832	1832
ENSMUSG00000077704.1	Snord89	110
ENSMUSG00000048234.13	Rnf149	2492
ENSMUSG00000064936.1	Gm23722	130
ENSMUSG00000102471.1	Gm5100	589
ENSMUSG00000050967.5	Creg2	6091
ENSMUSG00000097083.1	D930019O06Rik	3663
ENSMUSG00000057173.8	Rfx8	2008
ENSMUSG00000091937.3	Gm3646	352
ENSMUSG00000101634.6	1700066B17Rik	675
ENSMUSG00000026074.15	Map4k4	5782
ENSMUSG00000102985.1	4930456G14Rik	1330
ENSMUSG00000026073.13	Il1r2	1419
ENSMUSG00000097899.2	Gm16894	842
ENSMUSG00000102975.1	Gm37347	3071
ENSMUSG00000026072.12	Il1r1	5819
ENSMUSG00000103560.1	Gm38070	6480
ENSMUSG00000070942.8	Il1rl2	3908
ENSMUSG00000103230.1	Gm17970	685
